forehead	noun	/ˈfɔːhed/	古英语 forheafod：fore（在前）+ heafod（头）← 原始日耳曼语 *haubudam（头）	the part of the face above the eyes and below the hair	体温枪往眉毛上边那块平地一贴，眉一挑，横纹叠起好几道	额头	The nurse pressed a thermometer to his forehead.|Sweat ran down her forehead into her eyes.	the flat field of the face above the eyes – 眼睛上方那块平地
growth	noun	/ɡrəʊθ/	由 grow 加 -th 构成，古英语 grōwan ← 原始日耳曼语 *grōan，受古诺尔斯语 groðr 影响	the process of getting bigger, or something that has grown	树干上一圈套一圈的年轮，外圈比内圈宽得多	生长/增长/肿块	The growth of the city surprised everyone.|Doctors removed a small growth from his arm.	the amount a thing has got bigger by – 一样东西变大出来的那一截	生长：往大去这个过程本身|增长：数目上多出来的那一截|肿块：身上多长出来的那一小团
guess	verb / noun	/ɡes/	中古英语 gessen，源自斯堪的纳维亚语（古诺尔斯语 geta 猜、取得）	to give an answer you are not sure about	罐子封着口，他掂了掂说里头大概三十颗，谁也没数过	猜测/推测/猜想	I guessed the answer and got it right.|Can you guess how old she is?	an answer offered without knowing – 不知道底细也先给出一个答数	猜测：手里没准数，先报一个|推测：照手边一点线索往下推出一个|猜想：心里冒出来的那个未定的答数
guest	noun	/ɡest/	古诺尔斯语 gestr（客人）取代了古英语 giest ← 原始日耳曼语 *gastiz	a person invited to someone's home or staying at a hotel	门口多摆了一双拖鞋，桌上添了一副碗筷，主位让给了刚进门的人	客人/宾客/旅客	We had ten guests for dinner.|The hotel guests eat breakfast at eight.	one taken in and looked after by the host – 被主人接进门照顾的那一位	客人：受邀进到别人家里的那个人|宾客：正式场合里被请来的那一批|旅客：住在旅馆里，被店家照应的那位
guidance	noun	/ˈɡaɪdns/	由 guide 加 -ance 构成；古法语 guider ← 法兰克语 *wītan（指路、示路）	help and advice about how to do something	老师傅站在旁边不动手，只说下一步该往哪拧，学徒照着做	指导/指引/引导	Students need guidance in choosing courses.|He acted under his father's guidance.	someone showing the way step by step – 有人把路一段段指给你	指导：有经验的人告诉你下一步怎么做|指引：把方向点给你，让你自己走|引导：一路带着你往对的方向去
guide	verb / noun	/ɡaɪd/	古法语 guider（引路）← 法兰克语 *wītan（示路，与 wit 同源）	to show someone the way, or a person or book that does this	前头那人举着小旗，走两步回头看一眼，一队人跟着他拐进巷子	引导/向导/指南	She guided us through the old town.|Buy a guide to the city museums.	going in front so others know where to go – 走在前头，让后头的人知道往哪去	引导：走在前面把人带到该去的地方|向导：专门做这件事的那个人|指南：把路和门道写下来的那本书
guilt	noun	/ɡɪlt/	古英语 gylt（罪过、过失）；更早词源不明	the fact of having done wrong, or the bad feeling that follows	他把那件事说出来之前，夜里翻来覆去坐起好几回	罪责/内疚	The jury decided his guilt.|She felt guilt about lying to her mother.	carrying the weight of a wrong you did – 背着自己做错的那件事	罪责：事实上做错了事，该由他担着|内疚：那件错事压在心里，自己放不下
guilty	adjective	/ˈɡɪlti/	古英语 gyltig ← gylt（罪过）加 -ig	having done something wrong, or feeling bad about it	法槌落下后他低头盯着自己的鞋，旁边人退开半步	有罪的/内疚的	The court found him guilty of theft.|I feel guilty about forgetting her birthday.	marked as the one who did the wrong – 被认定做错事的那一个	有罪的：法律上认定这件错事是他做的|内疚的：心里认下这件事，一直不舒服
guitar	noun	/ɡɪˈtɑː/	西班牙语 guitarra ← 阿拉伯语 qītāra ← 希腊语 kithara（一种弦琴）	a musical instrument with six strings played with the fingers	木头做的空腹箱子，正面开个圆洞，六根弦从洞上绷到长颈尽头	吉他	He plays the guitar in a band.|She bought a second-hand guitar.	a hollow wooden box with strings stretched over a neck – 一只空木箱，弦绷过长颈
gulf	noun	/ɡʌlf/	古法语 golfe ← 意大利语 golfo ← 晚期希腊语 kolpos（湾、怀抱）	a large area of sea partly enclosed by land, or a wide separation	地图上海水往陆地里凹进去一大片，三面是岸，只一边通向外洋	海湾/鸿沟/巨大差距	The ship sailed into the gulf.|There is a wide gulf between the two sides.	a big scoop taken out between two edges – 两边之间被掏空的那一大块	海湾：水往陆地里凹进去的那一大片|鸿沟：两方之间空出来的那道大口子|巨大差距：中间隔得太开，接不上
gum	noun	/ɡʌm/	古法语 gomme ← 晚期拉丁语 gumma ← 希腊语 kommi ← 古埃及语 kemai（树上流出的胶）；口腔一义另出古英语 gōma（上腭）	a sticky substance from trees, or a sweet you chew	树皮裂口上挂着一滴半透明的稠汁，拉起来能拉出丝，粘手	树胶/口香糖/牙床	The gum from this tree hardens in the sun.|She was chewing gum in class.	a thick sap that sticks and stretches – 一种发黏、能拉出丝的稠汁	树胶：树上渗出来的那种发黏的稠汁|口香糖：拿这种黏东西做的、放嘴里嚼的|牙床：牙齿根上那圈软肉，另一同形词，古英语 gōma
gun	noun	/ɡʌn/	中古英语 gunne，可能出自古诺尔斯语女名 Gunnhildr（当时给攻城器械起的名字）；更早词源不明	a weapon that fires bullets or shells from a tube	一根中空的钢管架在木托上，扳机一扣，管口冒出一股白烟	枪/炮	He kept a gun in the drawer.|The ship's guns fired at dawn.	a tube that throws something out with a bang – 一根管子，砰的一声把东西抛出去	枪：手里端的那种小口径管子|炮：架在车或船上的那种大口径管子
gut	noun / verb	/ɡʌt/	古英语 guttas（肠子）← 原始日耳曼语，与 gēotan（倒、流）同源	the tube inside the body that food passes through	鱼被剖开，一段盘着的软管连着扯出来，扔进旁边的桶里	肠/内脏/胆量	The fisherman gutted the fish quickly.|It took a lot of guts to speak up.	the coiled soft tube packed inside – 塞在身子里那截盘着的软管	肠：食物从嘴到尾走的那截软管|内脏：把这截连着的一整套都算上|胆量：老话认为敢不敢在这处，不在脑子里
guy	noun	/ɡaɪ/	源自 Guy Fawkes（1605 年火药阴谋案主犯），先指他的草人，后泛指人	a man, or in the plural any group of people	街角站着的那个穿夹克的，名字不知道，说话时就用手一指	家伙/男人/人	That guy over there sold me the ticket.|Come on, you guys, we're late.	the man you point at without naming – 不叫名字，只拿手指一下的那个人	家伙：口头随便指某个男的，不带敬意|男人：泛指成年男性中的一个|人：复数时不分男女，就指在场这批
hail	noun / verb	/heɪl/	古英语 hagol（冰粒）← 原始日耳曼语 *haglaz；招呼一义另出古诺尔斯语 heill（健康、好运）	small balls of ice that fall from the sky, or to call out to someone	铁皮棚顶上噼里啪啦砸成一片，地上弹起白色小圆粒，踩上去咯吱响	冰雹/招呼/欢呼	Hail damaged the young plants.|He hailed a taxi on the corner.	hard bits pelting down, or a call thrown out – 硬粒子砸下来，或一声喊抛出去	冰雹：天上落下来的那些硬冰粒|招呼：隔着距离喊一声，把人叫住|欢呼：一齐喊出声，表示敬意或高兴
hair	noun	/heə/	古英语 hær ← 原始日耳曼语 *hēran	the fine threads that grow on the head and body	她低头一甩，一大把细丝散到肩上，梳子过去带下几根落在地砖上	头发/毛发	She has long dark hair.|There was a hair in my soup.	fine threads growing out of the skin – 皮上长出来的那些细丝	头发：长在头顶那一片细丝|毛发：身上别处长的同一种细丝，也指单独一根
half	noun / adjective / adverb	/hɑːf/	古英语 healf（一边、一侧）← 原始日耳曼语 *halbaz	one of two equal parts of something	刀从苹果正中切下去，两块摊在盘上，大小看着一样	一半/半个/部分地	She ate half of the cake.|The bottle is half empty.	one of the two equal parts a thing splits into – 一样东西平分成两块里的一块	一半：整个东西平分后的那一块|半个：数量上是完整一个的那么一块|部分地：程度只到了两块中的一块，没到底
hall	noun	/hɔːl/	古英语 heall（大屋、有顶的厅）← 原始日耳曼语 *hallō（遮盖之处）	a large room for meetings or meals, or the space inside a front door	进门是一片空着的大屋，四面的门都朝这里开，脚步声有回音	大厅/礼堂/门厅	The concert was held in the town hall.|Leave your coat in the hall.	the wide covered space others open onto – 别处都朝它开门的那片有顶空间	大厅：进门后那片大而空的地方|礼堂：专门用来聚人开会或演出的那间大屋|门厅：一进门那一小片过渡的地方
halt	verb / noun	/hɔːlt/	16 世纪军事用语，源自德语 halt ← halten（停住、握住）；跛行一义另出古英语 healt（瘸的）	to stop moving, or to make something stop	队伍前头一只手举起来，后面的人一个接一个收住脚，尘土还在飘	停止/暂停/使停住	The train halted just outside the station.|Police halted the marchers at the bridge.	holding a moving thing where it is – 把正在动的东西按在原处不许再动	停止：正走着的忽然不走了|暂停：停一下，还打算接着来|使停住：外力把它按住，不让它继续
ham	noun	/hæm/	古英语 hamm（膝弯、腿后侧）← 原始日耳曼语 *hamō，后专指猪的后腿肉	the salted or smoked meat from a pig's upper leg	熏房梁上吊着几条腌过的猪后腿，表面发暗红，切开纹路里透着白丝	火腿/腿肉	He cut a thin slice of ham.|We had ham and eggs for breakfast.	the pig's back leg cured whole – 整条腌好的猪后腿	火腿：腌熏过的那条后腿肉|腿肉：本义就指腿弯这一段的肉
hammer	noun / verb	/ˈhæmə/	古英语 hamor（原指石制工具）← 原始日耳曼语 *hamaraz	a tool with a heavy head for hitting nails	一头是块沉铁，一头是木柄，抓着柄往下甩，钉子一寸寸没进木头	锤子/锤打/敲击	He hit the nail with a hammer.|She hammered the post into the ground.	a weight on a stick swung down to strike – 棍子头上加一块重物，甩下去砸	锤子：那件头重柄长的工具|锤打：抓着它一下一下往下砸|敲击：泛指这种反复用力砸的动作
hand	noun / verb	/hænd/	古英语 hand ← 原始日耳曼语 *handuz	the part at the end of the arm, with fingers and a thumb	五根指头从腕上分出来，摊开能托住碗，合起来能攥住绳	手/递给/指针	He washed his hands before dinner.|Please hand me the salt.	the gripping end of the arm – 胳膊末端那个能抓能托的部件	手/递给：用这个部件把东西送到别人那处|指针：钟面上那根细长的指示物，形状像伸出的手指
handbook	noun	/ˈhændbʊk/	古英语 handbōc（手边的书）；19 世纪按德语 Handbuch 重新启用	a small book giving practical information about a subject	一本能塞进外套口袋的小书，边角磨圆了，里头全是分条的做法	手册/便览	The handbook explains how to fit the parts.|Every new student gets a handbook.	a book small enough to keep at hand – 小到能一直带在手边的那本书	手册：随身带着、专讲怎么做的那本小书|便览：把要紧条目排好，方便随时查的那种
handful	noun	/ˈhændfʊl/	古英语 handfull ← hand（手）+ full（满）	the amount that one hand can hold, or a small number	五指抓进米袋，收拢再抬出来，指缝还漏下几粒	一把/少量/难对付的人	She threw a handful of seed to the birds.|Only a handful of people came.	as much as one closed hand holds – 一只手合起来能装住的那么多	一把：一只手抓起来的那个量|少量：数目少到一手就能捧完|难对付的人：调皮得像一手都攥不住
handle	noun / verb	/ˈhændl/	古英语 handle（可握之物）← hand（手）；动词 handlian（用手摸、料理）	the part you hold, or to deal with something	门上横着一根被磨亮的铜条，人人推门都先按在这处	把手/处理/操作	The handle came off the drawer.|She handled the complaint calmly.	the spot made for the hand to take hold – 专给手抓的那一处	把手：器物上留出来给手握的那一段|处理：像抓住把手那样，把事情接过来管|操作：伸手去弄它，让它照你的意思动
handsome	adjective	/ˈhænsəm/	中古英语 handsom（顺手、好使）← hand + -some；16 世纪转指外表体面	pleasing to look at, especially of a man, or large in amount	照片里那人下颌线分明，肩宽衣挺，进屋时几个人都抬了头	英俊的/漂亮的/可观的	He was a tall, handsome young man.|She made a handsome profit last year.	so well made that eyes turn to it – 做得端正到让人回头看	英俊的：男子五官身形端正好看|漂亮的：物件样式体面，看着舒服|可观的：数目大得体面，不算小气
handy	adjective	/ˈhændi/	由 hand 加 -y 构成，古英语 hand ← 原始日耳曼语 *handuz	useful and easy to use, or near and ready to use	抽屉一拉就摸到那把小钳子，不用起身，也不用找	方便的/好用的/近便的	This little knife is very handy.|Keep the torch handy in case of a power cut.	right at the hand and easy to use – 就在手边，抓起来就能用	方便的：省事，不用绕弯子|好用的：拿在手里合用，做得顺|近便的：放得近，一伸手就到
hang	verb	/hæŋ/	古英语 hangian（悬着）与 hōn（挂上）← 原始日耳曼语 *hanhan	to attach something at the top so the rest is loose	一件湿外套搭在铁丝上，下摆滴着水，风来时整件摆一下	悬挂/垂下/吊死	Hang your coat on the hook.|They hanged the thief at dawn.	fixed at the top and left loose below – 上头固定住，下头空着晃	悬挂：把东西上端挂住，下端不着地|垂下：下头松着往下坠的那个样子|吊死：用绳把人上端吊住，取其命
happy	adjective	/ˈhæpi/	古诺尔斯语 happ（运气、机缘）加 -y；本义「运气好的」	feeling or showing pleasure and contentment	消息一到，她把信举过头顶转了个圈，嘴一直合不上	快乐的/高兴的/幸运的	She looked happy with her new job.|I'm happy to help you.	things falling out well and it shows – 事情落得顺，脸上藏不住	快乐的：心里舒畅，这份状态持续着|高兴的：眼下这件事让人心里一亮|幸运的：本义，指事情碰巧落得好
harbor	noun / verb	/ˈhɑːbə/	古英语 herebeorg（here 军队 + beorg 庇护：驻军歇息之处）← 原始日耳曼语	a place by the coast where ships are safe, or to keep something hidden	一道石堤把浪挡在外头，里侧水面平得像镜，几条船并排系着	港口/避难所/心怀	The boats stayed in the harbor all night.|He harbored a grudge for years.	a walled-off water where things ride safe – 围出来的一片水，进去就稳了	港口：船能进去停稳、不受风浪的地方|避难所：像那片挡好的水，供人躲进去|心怀：把念头收在里头存着，不放出来
hard	adjective / adverb	/hɑːd/	古英语 heard（坚硬的、严厉的）← 原始日耳曼语 *harduz	firm and solid, or needing a lot of effort	指甲在这块面上划过去，一道白痕都留不下，敲着发脆响	硬的/困难的/努力地	The ground was too hard to dig.|She works hard every day.	pressing on it changes nothing – 使劲压它，它一点不变形	硬的：受力不变形，也划不出印子|困难的：像硬东西一样推不动，办不下来|努力地：把劲用到最足，像对着硬东西使力
harden	verb	/ˈhɑːdn/	由 hard 加 -en 构成，古英语 heard ← 原始日耳曼语 *harduz	to become firm, or to make someone less easily moved	灰浆刚抹上还能划出指印，隔一夜再按，指头反被顶回来	变硬/使硬化/使冷酷	The clay hardens as it dries.|Years of war had hardened him.	going from giving way to not giving way – 从一按就陷变成一按不动	变硬：自己从软的转到不再变形|使硬化：外力让它定住、不再软|使冷酷：心也这么定住，不再被打动
hardly	adverb	/ˈhɑːdli/	由 hard 加 -ly 构成；本义「用力地」，后转为「几乎不」	almost not at all	他张了张嘴，声音小到隔着桌子的人得追问一遍	几乎不/简直不	I could hardly hear what she said.|There was hardly any milk left.	so little that it barely counts – 少到几乎算不上有	几乎不：有那么一丝，但少得可以不算|简直不：强调那点程度根本不够
hardship	noun	/ˈhɑːdʃɪp/	由 hard（艰难）加 -ship（状态）构成	a situation in which life is difficult, especially from lack of money	一家人一冬只烧半篓煤，孩子的鞋轮着穿，粮袋见了底	艰难/困苦	Many families suffered hardship that winter.|He endured great hardship as a boy.	living on less than is needed – 手里的东西不够用，日子就这么过	艰难：处境紧，事事都不顺手|困苦：缺吃缺穿，身上还得受着
hardware	noun	/ˈhɑːdweə/	由 hard（硬）与 ware（货物）复合；20 世纪起兼指机器、计算机实体部件	metal tools and goods, or the physical parts of a computer	架子上摆着钉子螺丝合页扳手，铁器碰在一起响，标签按尺寸排	五金/硬件	He bought nails at the hardware shop.|The problem is in the hardware, not the program.	the goods you can knock on – 敲得响、拿得起来的那些货	五金：钉子扳手一类金属做的器具|硬件：机器上摸得着的那些实体部件
harm	noun / verb	/hɑːm/	古英语 hearm（伤害、痛苦）← 原始日耳曼语 *harmaz	damage or injury, or to cause it	猫从他手边跑过，胳膊上留下三道血痕，衣袖也划破了	伤害/损害/危害	Smoking can harm your health.|He meant no harm by the remark.	leaving a thing worse than it was – 弄过之后，它比原先差了	伤害：在身上留下实在的损处|损害：让东西的状况或价值变差|危害：对别人或整体带来坏影响
harmony	noun	/ˈhɑːməni/	古法语 harmonie ← 拉丁语 harmonia ← 希腊语 harmonia（接合、协调）← harmos（接头）	agreement and pleasing arrangement, or notes sounding well together	四个人各唱一条不同的线，合起来听是一整块，谁也不刺耳	和谐/融洽/和声	The two colours are in perfect harmony.|They sang the last verse in harmony.	parts fitted so they make one whole – 各部分接得合缝，成了一整个	和谐：几样东西摆在一起不冲突|融洽：人跟人相处不起摩擦|和声：几个音同时响，合成一整片声音
harness	noun / verb	/ˈhɑːnɪs/	古法语 harneis（马具、装备），可能出自古诺尔斯语 *hernest（军用装备）；更早词源不明	straps put on an animal or person to guide force, or to make use of power	几条皮带绕过马的胸和肩，扣好后一头系上车辕，力就往车上去了	马具/背带/利用	He put the harness on the horse.|We must harness the power of the wind.	straps that turn loose strength into pull – 用几条带子把散的力引成一股拉力	马具：套在牲口身上、连到车上的那套带子|背带：绕过身子把人固定住的那几条带|利用：像给牲口套上带子，把散着的力引到正处
harvest	noun / verb	/ˈhɑːvɪst/	古英语 hærfest（秋天、收割季）← 原始日耳曼语 *harbistaz	the gathering in of crops, or the crops gathered	镰刀过去一片倒下，麦捆立成一排，车上装到冒尖	收成/收获/收割	The harvest was poor that year.|They harvest the rice in October.	taking in what the season has finished growing – 把这一季长成的都收进来	收成：这一季实际收进来的那个量|收获：把长熟的东西拿回来这件事|收割：拿刀具把长成的割下来的动作
haste	noun	/heɪst/	古法语 haste ← 法兰克语 *haifst（激烈、猛急），日耳曼源	speed in doing something, often too much of it	他抓起外套往外冲，钥匙落在桌上都没回头看	匆忙/急速	In her haste she left the door open.|He signed the papers in great haste.	moving fast enough to leave things behind – 快到把该带的东西漏在后头	匆忙：赶时间，动作压缩到最短|急速：单指快这一点，不带评价
hasty	adjective	/ˈheɪsti/	由 haste 加 -y 构成；古法语 haste ← 法兰克语 *haifst	done too quickly, without enough care or thought	会开了十分钟就定了案，字签上去时纸都没摊平	匆忙的/草率的	They made a hasty decision and regretted it.|He ate a hasty breakfast and left.	done so fast that care got dropped – 快到把该顾的都省掉了	匆忙的：时间上压得很紧，赶着做完|草率的：因为赶，该想的没想，留下漏洞
hat	noun	/hæt/	古英语 hætt（帽）← 原始日耳曼语 *hattuz	a covering for the head, usually with a brim	一圈硬边加一个凹顶，扣在头上，正午的影子只落到鼻尖	帽子/礼帽	He took off his hat when he came in.|She wore a straw hat in the garden.	a shaped cover set on the head – 做出形状、扣在头顶的一件遮盖物	帽子：戴在头上遮挡或装饰的那件东西|礼帽：正式场合戴的那种有硬边的
hatch	verb / noun	/hætʃ/	中古英语 hacchen（孵出），可能出自原始日耳曼语；舱口一义另出古英语 hæcc（栅门、半扇门）	to break out of an egg, or an opening in a floor or deck	蛋壳上先裂一道缝，一小截湿喙从里头顶出来，壳片掉在草垫上	孵化/破壳/舱口	The eggs hatched after three weeks.|They climbed down through the hatch.	coming out through a shell or a lid – 从壳里或盖口里出来	孵化：蛋里的活物成形后出来|破壳：从里往外把壳顶开那一下|舱口：甲板或地板上开的那个可盖的口，另一同形词
hate	verb / noun	/heɪt/	古英语 hatian（憎恨）← 原始日耳曼语 *hataz	to dislike someone or something very much	提到那个名字，她把碗往台上一放，转身走进另一间屋	憎恨/讨厌	I hate waiting in queues.|He looked at me with hate in his eyes.	pushing a thing away with all your feeling – 从心里把一样东西整个推开	憎恨：对人对事存着很重的排斥|讨厌：程度轻些，指不愿意碰、不愿意做
hatred	noun	/ˈheɪtrɪd/	由 hate 加古英语 -rǣden（状态、情形）构成	a very strong feeling of dislike, held over time	两家人几十年不往来，路上遇见都掉头走另一条街	憎恨/仇恨	Her hatred of injustice never faded.|Years of war left deep hatred between them.	dislike settled in and kept for years – 排斥沉下来，存了很多年	憎恨：对某人某事存着的那份很重的排斥|仇恨：两方之间结下的、代代传下去的那种
haul	verb / noun	/hɔːl/	古法语 haler（拖、拉）← 法兰克语 *halōn，与古诺尔斯语 hala（拉）同源	to pull something heavy, or the amount caught or carried at one time	四个人抓着一条粗绳，喊一声齐往后倒，网从水里一寸上来	拖/拉/运载量	They hauled the boat up the beach.|The fishermen had a good haul that day.	dragging a weight along by force – 使劲把重东西一段段拖着走	拖：抓住重物往自己这边一段段拉|拉：泛指这种用力牵引的动作|运载量：一次拖回来或运走的那个量
hay	noun	/heɪ/	古英语 hēg（割下来的草）← 原始日耳曼语 *hawjam ← *hawwan（砍、割）	grass that has been cut and dried for animal feed	割下的草在日头下晒成浅黄，抱起来又轻又扎手，一捆垛到棚里	干草/牧草	The cows were fed on hay all winter.|They stacked the hay in the barn.	cut grass dried out for keeping – 割下来晒干、留着用的草	干草：晒干后收起来的那种草|牧草：专门割来喂牲口的那类草
hazard	noun / verb	/ˈhæzəd/	古法语 hasard（一种骰子游戏）← 西班牙语 azar ← 阿拉伯语 az-zahr（骰子）	something that could cause harm, or to risk something	工地口子上竖着黄牌，底下敞着一个没盖的深井，夜里看不见	危险/危害/冒险猜	Icy roads are a hazard to drivers.|I'd hazard a guess that he's forty.	a thing that may hurt you if it falls your way – 落到你头上就会伤到你的那件事	危险：藏着的、可能伤到人的那个东西|危害：这东西对人或物带来的坏处|冒险猜：明知没把握，还是掷一把说出来
head	noun / verb	/hed/	古英语 hēafod ← 原始日耳曼语 *haubudam	the part of the body above the neck, containing the eyes and mouth	脖子上端那个圆东西，眼耳口鼻都长在上面，转一下方向就跟着变	头/领导/朝向	He hit his head on the low beam.|She heads the research team.	the front end that leads and looks – 走在前头、朝哪看就往哪去的那一端	头：脖子以上那部分，五官都长在这里|领导：一个组织的最前那一位，方向由他定|朝向：像头转向哪边，整个就往那边去
headache	noun	/ˈhedeɪk/	古英语 hēafodece（hēafod 头 + ece 痛）← 原始日耳曼语 *haubidan（头）	a continuous pain in the head, or something that causes trouble and worry	太阳穴一阵阵发胀，看屏幕就想闭眼，手指按着眉骨不肯松	头痛/头疼/麻烦事	I have a bad headache this morning.|The new rules are a real headache for us.	pain sitting inside the head – 赖在颅腔里不肯走的那份疼	头痛：颅内一阵阵发紧发胀的那种疼|头疼：同一件事，口语里更常这么说|麻烦事：像这份疼一样甩不掉，一想起就发愁
heading	noun	/ˈhedɪŋ/	由 head（最上面那一端）加 -ing 构成 ← 古英语 hēafod ← 原始日耳曼语 *haubidan	a title printed at the top of a section of text, or the direction in which something moves	翻开报告，每一节最上面那行字都比正文大一号，加粗顶格排	标题/题目/航向	Each chapter has a clear heading.|The ship changed its heading at dawn.	the line that sits at the very top – 摆在最上面的那一行	标题：一段文字顶上那行，先告诉你下面讲什么|题目：同一样东西，作业和试卷上这么叫|航向：船机对准的那一头，也就是它最前面那个方向
headline	noun / verb	/ˈhedlaɪn/	由 head（最上面）与 line（行）复合，19 世纪起专指报纸版面顶上那一行	the title of a news story printed in large type at the top of a page	报纸摊在桌上，最上头一行黑体老远就看得见，底下的小字得凑近才认得出	头条/标题/大标题	The story made the headline in every paper.|Her arrest headlined the evening news.	the one line set biggest at the top – 顶上排得最大的那一行	头条：版面最上面、字最大的那一条新闻|标题：那一行字本身，用来概括整篇|大标题：强调它排得比周围任何字都大
heal	verb	/hiːl/	古英语 hǣlan（使完好、治好）← 原始日耳曼语 *hailijan ← *hailaz（完整无损的）	to make a wound or an illness better, or to become well again	膝盖上的血痂一天天变薄，最后自己掉下来，底下是一层新的粉皮	治愈/愈合/抚平	The cut healed in about a week.|Time healed the quarrel between them.	broken parts closing back into one – 破开的地方重新合成一整块	治愈：把病或伤治到恢复原样|愈合：伤口自己长回一起，不再豁着|抚平：心里裂开的那道口子也这么合上
health	noun	/helθ/	古英语 hǣlþ（完好、无损的状态）← 原始日耳曼语 *hailitha ← *hailaz（完整的）	the condition of a person's body or mind, especially whether it is working well	体检单上一列数字全落在括号里的范围内，医生看完只说了句下次再来	健康/健康状况/卫生	Smoking is bad for your health.|The hospital checks the health of every worker.	the state of being whole and unbroken – 整个人没缺没损的那种状态	健康：身上各处都好，没病没损|健康状况：具体好到什么程度，可以查可以说|卫生：为把这状态保住而做的那些事
healthy	adjective	/ˈhelθi/	由 health 加 -y 构成，16 世纪出现 ← 古英语 hǣlþ ← 原始日耳曼语 *hailaz（完整的）	in good condition and not ill, or good for the body	八十岁的人拎两袋菜上五楼，中间没停，进门说话也不喘	健康的/有益健康的/兴旺的	She looks healthy after the holiday.|Fruit is a healthy choice for lunch.	whole and running without fault – 完好，运转起来不出毛病	健康的：身上没病没损，运转正常|有益健康的：吃了用了能把人往这状态推|兴旺的：公司或经济也这么说，底子结实不出毛病
heap	noun / verb	/hiːp/	古英语 hēap（一大团、许多）← 原始日耳曼语 *haupaz	an untidy pile of things, or to pile things up	沙子从车斗倾下来，落成一个尖顶的锥形，边上不停往下滑	堆/一堆/堆积	There was a heap of clothes on the floor.|She heaped rice onto his plate.	things thrown together into a mound – 东西胡乱凑到一处，凸成小山形	堆：随手摞起来、顶上凸尖的那一团|一堆：拿它数量说事，多得没法细分|堆积：不断往上加，让它越凸越高
hear	verb	/hɪə/	古英语 hīeran（耳朵接到声音）← 原始日耳曼语 *hauzjan	to take in sounds through the ears, or to learn about something	半夜里楼下一声钥匙碰门，人立刻从被子里坐起来	听见/听说/听审	I heard a dog barking outside.|We heard that she had moved away.	sound arriving at the ear – 声音送到耳朵里	听见：声音进到耳朵，被接住|听说：消息像声音那样传到你这儿|听审：法庭上把各方的话正式接进来
hearing	noun	/ˈhɪərɪŋ/	由 hear 加 -ing 构成 ← 古英语 hīeran ← 原始日耳曼语 *hauzjan	the ability to take in sound, or a meeting where evidence is listened to	老人把耳朵凑到收音机跟前，还是又把旋钮拧大两格	听力/听觉/听证会	His hearing got worse after the accident.|The court set a hearing for next Monday.	taking sound in, and the session held for it – 把声音接进来，以及专为接话安排的场合	听力：耳朵接住声音的那份能力|听觉：五感里管声音的那一路|听证会：把各方的话当面接进来的那场会
heat	noun / verb	/hiːt/	古英语 hætu（烫、温度高）← 原始日耳曼语 *haitin- ← *haitaz（烫的）	the quality of being hot, or to make something hot	手掌离铁锅还有一寸就得缩回来，锅上那层空气在抖	热/热度/加热/激烈	The fire warmed the whole room.|Heat the milk before you add it.	what a hot thing sends out – 烫的东西往外送的那样东西	热：烫的东西散出来、一靠近就觉出的那样东西|热度：这样东西有多少，能量出个数|加热：往一件东西里送这个，让它变烫|激烈：比赛争到烫手的程度
heave	verb / noun	/hiːv/	古英语 hebban（抬起、举高）← 原始日耳曼语 *habjan（举）	to lift, pull or throw something heavy with effort	两人把石磨盘抬到膝盖高就停住，脸憋红了，绳子勒进手心	用力举/拖动/起伏	They heaved the sack onto the cart.|His chest heaved as he caught his breath.	raising a weight that fights back – 把一件往下坠的东西硬抬起来	用力举：使足劲把重东西抬离原处|拖动：抬不起来就贴地拽，同样是硬使劲|起伏：胸口或海面像被一下下抬起又放下
heaven	noun	/ˈhevn/	古英语 heofon（天穹、神的居所）← 原始日耳曼语 *hebna-	the place believed to be where God lives, or the sky, or a state of great happiness	葬礼上有人抬手指着云缝里那道光，说人已经去了上面那处	天堂/天空/极乐	They believe the soul goes to heaven.|Birds circled high in the heavens.	the bright place held to be above everything – 被认作在万物之上的那处亮地方	天堂：信里说神住着、死后要去的那处|天空：抬头看见的那一整片，本义就是这个|极乐：好到像已经到了那处的那种舒服
heavy	adjective	/ˈhevi/	古英语 hefig（有重量、难举起）← 原始日耳曼语 *habigaz ← *habjan（举）	weighing a lot and difficult to lift, or great in amount or force	箱子提起来只离地两指，手指立刻被提手勒出白印，只能放下换姿势	重的/沉重的/大量的/繁重的	This box is too heavy to carry alone.|Heavy rain fell all afternoon.	weight that pushes back against the hand – 往下坠、跟手较劲的那份分量	重的：分量大，手托着就往下坠|沉重的：这份分量压到心里，也这么说|大量的：雨、雪、交通量大到像压过来|繁重的：活多得像一副重担压在肩上
hedge	noun / verb	/hedʒ/	古英语 hecg（围起来的东西、篱）← 原始日耳曼语 *hagjō（围住）	a row of bushes planted close together to form a boundary	一排灌木沿路种得密不透风，齐腰高，剪得平平的一道绿墙	树篱/篱墙/回避	A thick hedge ran along the road.|He hedged when we asked about the money.	a living wall marking off a boundary – 一道活着的墙，把两边隔开	树篱：密植的灌木排成一道，用来分界|篱墙：强调它就是一堵墙，挡人挡视线|回避：像躲到这道墙后面，不肯把话说明
